"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta[17]",-1.05349129664627,-1.01862,-0.623131700295804,443.3,0.95,-5.7087,3.68298,NA,NA,NA,NA,NA,NA,NA
"beta[18]",-1.25394561245871,-0.33793,0.542212604754795,1755.5,0.95,-12.7205,7.78256,NA,NA,NA,NA,NA,NA,NA
"beta[19]",-15.7069112891602,-13.9486,-10.238156785694,4274.2,0.95,-41.2556,5.78331,NA,NA,NA,NA,NA,NA,NA
"beta[20]",2.92430672621596,2.90333,3.0026978440094,486,0.95,-2.20675,8.09378,NA,NA,NA,NA,NA,NA,NA
"beta[21]",-6.594321600006,-6.28329,-5.66881052236703,1341.8,0.95,-15.6561,2.3135,NA,NA,NA,NA,NA,NA,NA
"beta[22]",1.59769204515897,1.60365,1.75163823594269,542.8,0.95,-4.26869,6.94496,NA,NA,NA,NA,NA,NA,NA
"beta[23]",-5.90986395747391,-6.3133,-7.50949041058409,1824,0.95,-17.0419,5.69556,NA,NA,NA,NA,NA,NA,NA
"beta[24]",-2.11379788320496,-2.08676,-1.52272440409106,530.7,0.95,-7.83017,3.16414,NA,NA,NA,NA,NA,NA,NA
"beta[25]",0.422749091553089,0.387373,0.130889633464831,412.6,0.95,-4.24383,5.77467,NA,NA,NA,NA,NA,NA,NA
"beta[26]",0.0477992869592082,0.0291418,0.286061874835331,376.2,0.95,-4.65652,4.64858,NA,NA,NA,NA,NA,NA,NA
"beta[27]",-2.18974886525495,-2.18126,-1.97848717773366,419.2,0.95,-6.76708,2.98028,NA,NA,NA,NA,NA,NA,NA
"beta[28]",1.23022333009598,1.26232,1.68623903455852,412.4,0.95,-3.71877,5.97436,NA,NA,NA,NA,NA,NA,NA
"beta[29]",1.82392679615873,1.80416,1.8508417270097,592.5,0.95,-4.14491,7.69034,NA,NA,NA,NA,NA,NA,NA
"beta[30]",2.20509359224775,2.15194,2.04806419498443,391.7,0.95,-2.9918,7.54367,NA,NA,NA,NA,NA,NA,NA
"beta[31]",-1.59881047194821,-1.47951,-1.35007424989306,525.7,0.95,-7.89288,4.92614,NA,NA,NA,NA,NA,NA,NA
"beta[32]",-1.14008383326935,-1.13572,-1.35586304823426,403.5,0.95,-6.29126,4.25255,NA,NA,NA,NA,NA,NA,NA
"beta[33]",0.379859400113177,0.403649,1.01070333030808,439.6,0.95,-5.30332,5.85485,NA,NA,NA,NA,NA,NA,NA
"beta[34]",0.194384811713837,0.279788,0.962053316385205,383.1,0.95,-4.74225,5.74792,NA,NA,NA,NA,NA,NA,NA
"beta[35]",-0.487280721159168,-0.147242,0.183975698939744,914.8,0.95,-9.51912,8.54032,NA,NA,NA,NA,NA,NA,NA
"beta[36]",-0.697989010190962,-0.612641,0.0568366869948864,404.3,0.95,-6.177,4.84561,NA,NA,NA,NA,NA,NA,NA
"beta[37]",0.180688023525295,0.174404,0.162756698492325,893.7,0.95,0.0737971,0.29961,NA,NA,NA,NA,NA,NA,NA
"beta[38]",0.000245785959901854,0.000247488,0.000250816563251297,1648,0.95,-0.00020378,0.000703661,NA,NA,NA,NA,NA,NA,NA
"beta[39]",1.28877937457309,1.24943,1.15800784811566,997.1,0.95,0.391046,2.26341,NA,NA,NA,NA,NA,NA,NA
"beta[40]",-0.0810423570381124,-0.0773735,-0.0738631163326015,1571,0.95,-0.179777,0.0090466,NA,NA,NA,NA,NA,NA,NA
"beta[41]",0.780525499210558,0.755615,0.735343723911621,2352.4,0.95,-0.896574,2.56597,NA,NA,NA,NA,NA,NA,NA
"zbeta0",-6.33355393721256,-6.30038,-6.32098211083722,514.5,0.95,-8.46271,-4.2123,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",1.62037522202759,1.61205,1.44325932103553,353.9,0.95,-0.567515,3.80195,NA,NA,NA,NA,NA,NA,NA
